,title,price,year,link,brand,age
0,2015 subaru outback 2.5i limited awd,5999,2015.0,https://charlottesville.craigslist.org/cto/d/esmont-2015-subaru-outback-25i-limited/7824749686.html,subaru,10.0
1,2011 toyota tundra 4wd double cab,9950,2011.0,https://charlottesville.craigslist.org/cto/d/henrico-2011-toyota-tundra-4wd-double/7824731872.html,toyota,14.0
2,2004 lexus es 330 / just virginia state inspected and serviced,3896,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-lexus-es-330-just/7824685821.html,lexus,21.0
3,2011 bmw 335i – sport package | cold weather package | m sport feature,10500,2011.0,https://charlottesville.craigslist.org/cto/d/earlysville-2011-bmw-335i-sport-package/7824664429.html,bmw,14.0
4,2015 volkswagen touareg tdi executive sport utility suv,13950,2015.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2015-volkswagen-touareg/7824440934.html,volkswagen,10.0
5,1999 chevy blazer 4wd,2200,1999.0,https://charlottesville.craigslist.org/cto/d/new-canton-1999-chevy-blazer-4wd/7824374635.html,chevy,26.0
6,2004 toyota tundra sr5 for sale -  manual transmission v6 model,6500,2004.0,https://charlottesville.craigslist.org/cto/d/afton-2004-toyota-tundra-sr5-for-sale/7824232127.html,toyota,21.0
7,"2006 cadillac cts 107,086 miles only",2950,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-cadillac-cts-miles/7824205698.html,cadillac,19.0
8,chevy,6000,,https://charlottesville.craigslist.org/cto/d/waynesboro-chevy/7824186332.html,chevy,
9,1979 oldsmobile cutlass supreme broughm,2800,1979.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1979-oldsmobile-cutlass/7824160442.html,missing,46.0
10,2009 honda fit sport,3400,2009.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2009-honda-fit-sport/7824096220.html,honda,16.0
11,2001 mercedes e320,2000,2001.0,https://charlottesville.craigslist.org/cto/d/scottsville-2001-mercedes-e320/7823993772.html,missing,24.0
12,2012 honda civic lx,5900,2012.0,https://charlottesville.craigslist.org/cto/d/henrico-2012-honda-civic-lx/7823876536.html,honda,13.0
13,toyota camry 2008,3000,2008.0,https://charlottesville.craigslist.org/cto/d/scottsville-toyota-camry-2008/7823636080.html,toyota,17.0
14,toyota tundra 2013,16000,2013.0,https://charlottesville.craigslist.org/cto/d/scottsville-toyota-tundra-2013/7823632266.html,toyota,12.0
15,chev van,4000,,https://charlottesville.craigslist.org/cto/d/palmyra-chev-van/7823632242.html,missing,
